,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
3,2019-3,2019-01-08,1,Vente,209000.0,3.0,RUE DES CHAMPAGNES,0043,1160.0,01314,Priay,01,013140000E1676,0,1.0,Maison,90.0,4.0,S,sols,940.0,5.282085,45.999533
4,2019-4,2019-01-07,1,Vente,134900.0,5.0,LOT LE BIOLAY,A003,1370.0,01350,Saint-Étienne-du-Bois,01,01350000AA0011,0,1.0,Maison,101.0,5.0,S,sols,490.0,5.299919,46.293275
5,2019-5,2019-01-03,1,Vente,192000.0,165.0,ALL DES LIBELLULES,0445,1340.0,01024,Attignat,01,01024000AI0094,0,1.0,Maison,88.0,4.0,S,sols,708.0,5.174787,46.269969
6,2019-6,2019-01-08,1,Vente,45000.0,9.0,RTE DU VIADUC,0001,1250.0,01106,Cize,01,011060000A0086,0,1.0,Maison,39.0,2.0,S,sols,631.0,5.452134,46.205259
7,2019-6,2019-01-08,1,Vente,45000.0,,SUR LA LATIE,B017,1250.0,01106,Cize,01,011060000A0975,0,,,,,L,landes,120.0,5.452141,46.205327
13,2019-10,2019-01-07,1,Vente,116000.0,1724.0,RTE DE MONTLEGER,0105,1560.0,01230,Mantenay-Montlin,01,01230000ZH0060,0,1.0,Maison,100.0,1.0,S,sols,2103.0,5.118921,46.438798
14,2019-11,2019-01-08,1,Vente,266000.0,,CUET,B013,1340.0,01266,Montrevel-en-Bresse,01,012660000C0714,0,,,,,S,sols,184.0,5.11249,46.32215
15,2019-11,2019-01-08,1,Vente,266000.0,,CUET,B013,1340.0,01266,Montrevel-en-Bresse,01,012660000C0715,0,,,,,S,sols,8.0,5.112147,46.321812
16,2019-11,2019-01-08,1,Vente,266000.0,1250.0,RTE DE CUET,0037,1340.0,01266,Montrevel-en-Bresse,01,012660000C0716,0,1.0,Maison,115.0,4.0,S,sols,1067.0,5.11206,46.321862
17,2019-11,2019-01-08,1,Vente,266000.0,1250.0,RTE DE CUET,0037,1340.0,01266,Montrevel-en-Bresse,01,012660000C0716,0,3.0,Dépendance,,0.0,S,sols,1067.0,5.11206,46.321862
18,2019-11,2019-01-08,1,Vente,266000.0,,CUET,B013,1340.0,01266,Montrevel-en-Bresse,01,012660000C0718,0,,,,,S,sols,39.0,5.112198,46.32216
19,2019-12,2019-01-12,1,Vente,138100.0,181.0,RTE DE VERNOUX,0150,1560.0,01128,Courtes,01,01128000WA0034,0,1.0,Maison,99.0,4.0,S,sols,1500.0,5.103368,46.468162
20,2019-12,2019-01-12,1,Vente,138100.0,181.0,RTE DE VERNOUX,0150,1560.0,01128,Courtes,01,01128000WA0034,0,3.0,Dépendance,,0.0,S,sols,1500.0,5.103368,46.468162
21,2019-13,2019-01-12,1,Vente,7570.0,,CROCU,B042,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0327,0,,,,,T,terres,8370.0,5.045541,46.462847
22,2019-13,2019-01-12,1,Vente,7570.0,,LE PIOCHAY,B102,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0333,0,,,,,T,terres,7100.0,5.04837,46.463092
23,2019-13,2019-01-12,1,Vente,7570.0,,LE PIOCHAY,B102,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0335,0,,,,,J,jardins,275.0,5.048193,46.46415
24,2019-13,2019-01-12,1,Vente,7570.0,,GRANDVAL,B075,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0351,0,,,,,P,prés,4310.0,5.05012,46.463315
25,2019-13,2019-01-12,1,Vente,7570.0,,LE PIOCHAY,B102,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0658,0,,,,,T,terres,5513.0,5.047072,46.463672
26,2019-13,2019-01-12,1,Vente,7570.0,,LE PIOCHAY,B102,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0660,0,,,,,T,terres,4002.0,5.047962,46.463675
27,2019-13,2019-01-12,1,Vente,7570.0,,LE PIOCHAY,B102,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000A0662,0,,,,,P,prés,4617.0,5.049154,46.46329
28,2019-13,2019-01-12,1,Vente,7570.0,,FARNOZ,B062,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0420,0,,,,,T,terres,958.0,5.058275,46.456092
29,2019-13,2019-01-12,1,Vente,7570.0,,FARNOZ,B062,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0421,0,,,,,T,terres,4490.0,5.05705,46.456052
30,2019-13,2019-01-12,1,Vente,7570.0,,FARNOZ,B062,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0422,0,,,,,T,terres,1974.0,5.056071,46.455785
31,2019-13,2019-01-12,1,Vente,7570.0,,FARNOZ,B062,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0563,0,,,,,T,terres,1629.0,5.05571,46.45568
32,2019-14,2019-01-09,1,Vente,15000.0,5575.0,MOLARDOURY,B094,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000D0968,0,3.0,Dépendance,,0.0,S,sols,1063.0,5.064424,46.455163
33,2019-15,2019-01-15,1,Vente,207000.0,,MONTDIDIER,B034,1310.0,01264,Montracol,01,012640000B0167,0,,,,,T,terres,1100.0,5.134645,46.181047
34,2019-15,2019-01-15,1,Vente,207000.0,544.0,RTE DE BOIS BRULE,0025,1310.0,01264,Montracol,01,012640000B0954,0,1.0,Maison,123.0,4.0,S,sols,1073.0,5.135029,46.180934
35,2019-16,2019-01-08,1,Vente,3040.0,,CHAMAMBARD,B011,1310.0,01065,Buellas,01,010650000A0320,0,,,,,P,prés,6060.0,5.155339,46.222005
40,2019-19,2019-01-07,1,Vente,583000.0,51.0,RUE CHAUDOUET,0067,1960.0,01289,Péronnas,01,01289000AC0182,0,2.0,Appartement,84.0,4.0,AG,terrains d'agrément,619.0,5.209615,46.190473
41,2019-19,2019-01-07,1,Vente,583000.0,51.0,RUE CHAUDOUET,0067,1960.0,01289,Péronnas,01,01289000AC0182,0,3.0,Dépendance,,0.0,S,sols,1002.0,5.209615,46.190473
